iter	Passed	Remaining
408	2240	3237
409	2244	3229
410	2247	3221
411	2250	3212
412	2254	3204
413	2257	3196
414	2261	3188
415	2265	3180
416	2269	3172
417	2272	3164
418	2274	3154
419	2276	3143
420	2278	3133
421	2279	3122
422	2281	3112
423	2283	3102
424	2286	3093
425	2288	3083
426	2289	3072
427	2291	3062
428	2294	3053
429	2296	3043
430	2299	3036
431	2303	3028
432	2306	3020
433	2307	3009
434	2310	3000
435	2312	2991
436	2314	2982
437	2317	2973
438	2321	2966
439	2325	2959
440	2328	2952
441	2334	2947
442	2337	2939
443	2339	2929
444	2340	2919
445	2342	2909
446	2343	2899
447	2345	2889
448	2348	2881
449	2350	2872
450	2352	2863
451	2354	2854
452	2356	2845
453	2358	2836
454	2360	2827
455	2362	2818
456	2365	2810
457	2366	2800
458	2369	2793
459	2373	2786
460	2376	2778
461	2380	2772
462	2383	2764
463	2387	2757
464	2390	2750
465	2393	2742
466	2396	2734
467	2399	2727
468	2403	2720
469	2406	2713
470	2410	2706
471	2413	2699
472	2417	2693
473	2420	2686
474	2423	2678
475	2427	2671
476	2429	2664
477	2433	2657
478	2435	2649
479	2437	2640
480	2440	2633
481	2444	2627
482	2448	2621
483	2451	2613
484	2455	2607
485	2457	2599
486	2460	2592
487	2464	2585
488	2467	2578
489	2470	2571
490	2473	2564
491	2476	2557
492	2480	2550
493	2483	2544
494	2486	2537
495	2490	2530
496	2493	2523
497	2496	2517
498	2500	2510
499	2503	2503
500	2506	2496
501	2509	2489
502	2512	2482
503	2515	2475
504	2519	2469
505	2522	2462
506	2527	2457
507	2530	2451
508	2535	2446
509	2538	2439
510	2541	2432
511	2544	2425
512	2547	2418
513	2551	2412
514	2554	2405
515	2558	2400
516	2561	2392
517	2564	2386
518	2567	2379
519	2570	2372
520	2573	2366
521	2577	2359
522	2580	2353
523	2583	2347
524	2587	2340
525	2590	2334
526	2593	2327
527	2596	2321
528	2600	2314
529	2603	2308
530	2606	2302
531	2609	2295
532	2613	2289
533	2616	2283
534	2620	2277
535	2623	2271
536	2627	2265
537	2630	2259
538	2633	2252
539	2636	2246
540	2639	2239
541	2643	2233
542	2646	2227
543	2649	2220
544	2653	2215
545	2657	2209
546	2660	2203
547	2663	2197
548	2667	2191
549	2669	2183
550	2671	2176
551	2674	2170
552	2677	2164
553	2681	2158
554	2684	2152
555	2688	2146
556	2691	2140
557	2694	2133
558	2696	2127
559	2700	2121
560	2703	2115
561	2707	2109
562	2710	2103
563	2713	2097
564	2717	2091
565	2719	2085
566	2722	2078
567	2724	2072
568	2728	2066
569	2730	2060
570	2734	2054
571	2738	2048
572	2741	2042
573	2744	2036
574	2747	2030
575	2751	2025
576	2754	2019
577	2758	2014
578	2762	2008
579	2765	2002
580	2769	1997
581	2772	1991
582	2775	1985
583	2779	1979
584	2782	1974
585	2788	1970
586	2792	1964
587	2795	1959
588	2799	1953
589	2803	1947
590	2806	1942
591	2810	1936
592	2813	1931
593	2816	1925
594	2819	1918
595	2822	1913
596	2825	1907
597	2828	1901
598	2832	1896
599	2835	1890
600	2839	1884
601	2840	1878
602	2842	1871
603	2843	1864
604	2845	1857
605	2849	1852
606	2851	1846
607	2852	1839
608	2855	1833
609	2857	1826
610	2859	1820
611	2861	1814
612	2864	1808
613	2866	1801
614	2867	1795
615	2869	1788
616	2870	1781
617	2872	1775
618	2873	1768
619	2876	1763
620	2879	1757
621	2881	1751
622	2884	1745
623	2887	1740
624	2890	1734
625	2892	1727
626	2895	1722
627	2897	1716
628	2899	1710
629	2902	1704
630	2904	1698
631	2906	1692
632	2908	1686
633	2909	1679
634	2913	1674
635	2915	1668
636	2917	1662
637	2920	1657
638	2926	1653
639	2929	1648
640	2933	1642
641	2936	1637
642	2940	1632
643	2943	1627
644	2947	1622
645	2950	1617
646	2954	1611
647	2958	1606
648	2960	1601
649	2964	1596
650	2967	1590
651	2971	1585
652	2974	1580
653	2977	1575
654	2981	1570
655	2984	1564
656	2986	1559
657	2990	1554
658	2992	1548
659	2995	1543
660	2999	1538
661	3003	1533
662	3005	1527
663	3009	1522
664	3012	1517
665	3016	1512
666	3020	1507
667	3022	1502
668	3025	1497
669	3029	1491
670	3032	1486
671	3035	1481
672	3039	1476
673	3042	1471
674	3045	1466
675	3049	1461
676	3052	1456
677	3056	1451
678	3060	1446
679	3064	1442
680	3069	1437
681	3072	1432
682	3075	1427
683	3079	1422
684	3082	1417
685	3085	1412
686	3088	1407
687	3092	1402
688	3095	1397
689	3098	1392
690	3102	1387
691	3105	1382
692	3108	1377
693	3112	1372
694	3114	1366
695	3117	1361
696	3120	1356
697	3123	1351
698	3127	1346
699	3130	1341
700	3134	1336
701	3137	1331
702	3140	1326
703	3144	1322
704	3147	1316
705	3150	1311
706	3152	1306
707	3154	1300
708	3156	1295
709	3161	1291
710	3163	1285
711	3167	1281
712	3170	1276
713	3173	1271
714	3176	1266
715	3178	1260
716	3180	1255
717	3182	1250
718	3185	1244
719	3187	1239
720	3192	1235
721	3195	1230
722	3197	1225
723	3206	1222
724	3210	1217
725	3213	1212
726	3216	1208
727	3220	1203
728	3223	1198
729	3226	1193
730	3230	1188
731	3233	1183
732	3236	1179
733	3239	1173
734	3242	1169
735	3246	1164
736	3249	1159
737	3253	1154
738	3255	1149
739	3258	1145
740	3261	1140
741	3265	1135
742	3268	1130
743	3271	1125
744	3274	1120
745	3278	1116
746	3281	1111
747	3285	1106
748	3288	1102
749	3291	1097
750	3295	1092
751	3298	1087
752	3302	1083
753	3304	1078
754	3307	1073
755	3310	1068
756	3314	1063
757	3318	1059
758	3321	1054
759	3324	1049
760	3328	1045
761	3330	1040
762	3333	1035
763	3336	1030
764	3341	1026
765	3344	1021
766	3353	1018
767	3356	1013
768	3359	1009
769	3362	1004
770	3365	999
771	3369	995
772	3372	990
773	3376	985
774	3379	981
775	3382	976
776	3385	971
777	3388	966
778	3391	962
779	3395	957
780	3398	952
781	3400	947
782	3401	942
783	3403	937
784	3405	932
785	3407	927
786	3408	922
787	3411	917
788	3413	912
789	3415	907
790	3418	903
791	3419	898
792	3421	893
793	3423	888
794	3426	883
795	3429	878
796	3431	873
797	3432	868
798	3434	863
799	3436	859
800	3438	854
801	3441	849
802	3443	844
803	3446	840
804	3450	835
805	3453	831
806	3458	827
807	3461	822
808	3462	817
809	3464	812
810	3466	807
811	3468	803
812	3471	798
813	3475	794
814	3478	789
815	3480	784
816	3482	780
817	3485	775
818	3488	771
819	3492	766
820	3497	762
821	3500	758
822	3504	753
823	3507	749
824	3510	744
825	3513	740
826	3517	735
827	3521	731
828	3525	727
829	3528	722
830	3531	718
831	3534	713
832	3537	709
833	3541	704
834	3545	700
835	3548	696
836	3551	691
837	3554	687
838	3558	682
839	3561	678
840	3564	673
841	3568	669
842	3572	665
843	3575	660
844	3578	656
845	3582	652
846	3585	647
847	3588	643
848	3591	638
849	3595	634
850	3598	630
851	3602	625
852	3605	621
853	3608	616
854	3612	612
855	3615	608
856	3618	603
857	3621	599
858	3624	594
859	3627	590
860	3630	586
861	3633	581
862	3637	577
863	3640	573
864	3643	568
865	3646	564
866	3649	559
867	3652	555
868	3656	551
869	3659	546
870	3662	542
871	3666	538
872	3669	533
873	3673	529
874	3676	525
875	3680	520
876	3684	516
877	3687	512
878	3690	508
879	3693	503
880	3696	499
881	3699	494
882	3703	490
883	3706	486
884	3710	482
885	3714	477
886	3717	473
887	3720	469
888	3723	464
889	3727	460
890	3731	456
891	3734	452
892	3737	447
893	3740	443
894	3744	439
895	3747	435
896	3751	430
897	3754	426
898	3758	422
899	3761	417
900	3764	413
901	3768	409
902	3771	405
903	3774	400
904	3776	396
905	3780	392
906	3782	387
907	3785	383
908	3788	379
909	3792	375
910	3795	370
911	3798	366
912	3802	362
913	3806	358
914	3808	353
915	3810	349
916	3813	345
917	3819	341
918	3823	337
919	3827	332
920	3830	328
921	3833	324
922	3836	320
923	3839	315
924	3842	311
925	3845	307
926	3849	303
927	3852	298
928	3855	294
929	3858	290
930	3861	286
931	3863	281
932	3868	277
933	3870	273
934	3874	269
935	3877	265
936	3880	260
937	3883	256
938	3887	252
939	3890	248
940	3894	244
941	3897	239
942	3901	235
943	3904	231
944	3907	227
945	3910	223
946	3914	219
947	3917	214
948	3920	210
949	3924	206
950	3927	202
951	3931	198
952	3935	194
953	3938	189
954	3942	185
955	3946	181
956	3949	177
957	3953	173
958	3960	169
959	3964	165
960	3966	160
961	3967	156
962	3969	152
963	3970	148
964	3972	144
965	3975	139
966	3978	135
967	3980	131
968	3982	127
969	3983	123
970	3986	119
971	3988	114
972	3991	110
973	3993	106
974	3995	102
975	3998	98
976	4000	94
977	4003	90
978	4007	85
979	4010	81
980	4013	77
981	4015	73
982	4017	69
983	4019	65
984	4024	61
985	4027	57
986	4028	53
987	4031	48
988	4033	44
989	4035	40
990	4038	36
991	4040	32
992	4043	28
993	4046	24
994	4050	20
995	4053	16
996	4056	12
997	4059	8
998	4063	4
999	4066	0
