iter	RMSE
557	2746.475585
558	2744.733468
559	2744.527549
560	2742.115591
561	2739.639957
562	2738.695145
563	2738.378324
564	2737.481156
565	2736.804719
566	2735.86688
567	2735.153559
568	2734.407895
569	2733.508947
570	2731.790876
571	2730.156471
572	2728.555978
573	2726.925223
574	2726.184432
575	2724.898162
576	2722.275796
577	2721.536529
578	2720.656527
579	2718.540854
580	2716.258944
581	2715.400058
582	2714.375654
583	2713.835385
584	2713.069737
585	2711.269249
586	2709.149755
587	2705.945054
588	2704.277576
589	2702.498179
590	2702.066463
591	2699.201265
592	2697.942942
593	2695.644235
594	2694.472866
595	2693.721682
596	2691.29437
597	2689.79717
598	2686.942648
599	2686.447523
600	2684.890403
601	2682.792634
602	2681.255572
603	2680.603241
604	2679.740045
605	2678.902253
606	2677.324597
607	2675.613425
608	2674.826499
609	2673.402083
610	2670.81756
611	2670.167162
612	2667.795861
613	2665.363432
614	2663.900694
615	2663.215468
616	2659.733989
617	2658.217733
618	2655.888784
619	2653.879955
620	2653.178613
621	2651.751539
622	2650.850385
623	2649.334279
624	2647.9267
625	2646.8805
626	2645.333756
627	2644.874064
628	2644.032897
629	2639.041391
630	2638.292743
631	2637.756149
632	2636.789838
633	2635.646848
634	2634.740862
635	2633.645861
636	2632.933237
637	2631.8812
638	2631.394539
639	2629.033433
640	2627.33402
641	2626.693958
642	2625.672186
643	2624.898863
644	2621.911787
645	2621.475155
646	2620.80098
647	2618.024903
648	2615.916254
649	2613.864914
650	2613.026661
651	2612.825754
652	2610.983951
653	2610.179179
654	2609.560136
655	2607.950582
656	2607.295943
657	2605.311012
658	2604.218338
659	2603.116904
660	2602.195815
661	2601.143396
662	2599.698928
663	2599.107679
664	2598.354404
665	2597.795408
666	2597.040088
667	2593.50652
668	2590.792641
669	2588.393149
670	2587.004204
671	2585.957128
672	2585.261184
673	2584.373542
674	2583.60267
675	2579.14083
676	2578.913131
677	2575.963656
678	2575.219928
679	2573.671233
680	2571.90466
681	2570.02769
682	2569.618813
683	2568.479066
684	2567.164397
685	2564.582923
686	2563.06963
687	2561.628243
688	2560.918606
689	2559.638818
690	2557.654201
691	2556.919838
692	2554.867228
693	2553.660163
694	2552.76204
695	2552.076538
696	2551.281049
697	2549.021868
698	2547.447964
699	2545.637497
700	2543.662509
701	2542.081903
702	2541.495813
703	2540.624739
704	2540.410782
705	2539.170308
706	2538.648388
707	2537.712924
708	2537.12836
709	2536.24719
710	2535.670518
711	2534.158392
712	2533.487654
713	2532.145918
714	2530.578654
715	2529.35735
716	2527.52432
717	2525.602536
718	2523.743569
719	2520.623889
720	2519.694498
721	2518.208342
722	2515.847004
723	2514.995357
724	2514.499412
725	2513.408151
726	2512.523708
727	2511.253096
728	2510.672248
729	2508.439967
730	2506.601078
731	2504.35522
732	2503.108809
733	2502.543065
734	2501.352145
735	2500.523549
736	2497.361129
737	2496.667697
738	2496.281291
739	2494.456751
740	2493.6886
741	2492.885438
742	2491.353677
743	2489.922438
744	2488.931793
745	2488.488093
746	2486.101335
747	2485.23919
748	2483.975461
749	2482.485091
750	2481.544376
751	2479.605437
752	2478.136638
753	2476.969194
754	2475.596142
755	2474.928005
756	2472.284487
757	2471.659828
758	2470.907348
759	2469.984349
760	2468.981527
761	2467.983766
762	2466.41575
763	2465.207786
764	2463.915893
765	2460.623093
766	2459.991179
767	2458.913159
768	2457.533059
769	2455.92471
770	2455.14186
771	2454.10323
772	2453.231112
773	2452.633088
774	2449.318222
775	2447.76448
776	2445.95728
777	2445.117332
778	2444.198665
779	2443.255282
780	2442.464016
781	2439.812428
782	2435.841957
783	2434.516185
784	2434.019123
785	2432.721257
786	2431.460242
787	2430.056621
788	2429.386713
789	2427.583869
790	2425.063883
791	2424.249416
792	2421.836582
793	2419.532735
794	2417.09835
795	2416.307892
796	2415.246726
797	2414.502371
798	2413.049959
799	2412.385112
800	2409.971635
801	2409.417081
802	2408.17559
803	2406.573225
804	2403.918507
805	2403.228119
806	2400.976154
807	2400.444379
808	2399.25544
809	2398.230178
810	2396.407215
811	2394.179502
812	2392.104983
813	2390.683139
814	2388.50588
815	2387.046902
816	2386.499109
817	2384.390073
818	2382.864166
819	2381.889116
820	2379.861818
821	2378.723519
822	2377.570538
823	2376.678394
824	2375.896964
825	2373.990608
826	2371.853133
827	2370.020733
828	2368.188627
829	2366.368135
830	2365.320348
831	2364.161508
832	2362.861131
833	2361.636896
834	2360.676998
835	2356.949917
836	2355.3607
837	2354.263302
838	2352.863926
839	2350.495287
840	2349.69209
841	2348.780266
842	2347.312282
843	2345.597869
844	2344.746493
845	2343.128845
846	2339.68746
847	2338.392863
848	2335.126306
849	2333.270548
850	2332.084498
851	2330.410107
852	2329.268419
853	2328.073198
854	2325.855245
855	2325.017603
856	2324.26286
857	2322.907726
858	2321.66866
859	2320.999856
860	2319.781224
861	2318.882628
862	2318.113668
863	2316.240544
864	2314.738824
865	2312.308141
866	2309.473691
867	2307.63814
868	2306.072551
869	2303.525186
870	2302.315505
871	2301.343725
872	2299.607088
873	2296.401604
874	2292.885718
875	2290.938434
876	2290.054089
877	2288.64843
878	2285.290292
879	2284.282113
880	2283.604044
881	2282.803618
882	2282.061169
883	2280.894251
884	2279.554011
885	2277.906031
886	2275.793318
887	2274.369082
888	2272.089779
889	2270.588721
890	2269.41004
891	2267.808154
892	2267.214675
893	2266.574544
894	2265.301099
895	2264.386582
896	2261.760786
897	2260.788797
898	2259.743096
899	2258.364401
900	2256.359576
901	2255.157976
902	2252.221389
903	2250.53393
904	2249.419017
905	2246.630325
906	2245.709769
907	2244.430073
908	2244.024583
909	2242.785483
910	2241.901048
911	2241.563579
912	2239.81528
913	2239.175934
914	2238.150933
915	2236.631674
916	2235.52908
917	2232.417482
918	2231.51218
919	2229.736202
920	2228.874923
921	2228.031804
922	2225.878532
923	2224.830326
924	2223.82919
925	2222.667718
926	2220.814234
927	2217.597615
928	2216.380077
929	2215.076475
930	2214.758545
931	2213.858471
932	2213.116814
933	2212.520526
934	2209.949801
935	2208.584814
936	2207.746175
937	2205.403661
938	2205.116221
939	2202.034476
940	2201.233554
941	2200.01817
942	2197.601383
943	2196.525385
944	2195.032402
945	2194.193468
946	2191.3566
947	2189.967789
948	2188.948572
949	2186.172197
950	2184.919018
951	2183.016598
952	2182.248892
953	2180.671078
954	2179.84979
955	2178.718282
956	2177.761203
957	2176.755822
958	2174.538691
959	2173.033493
960	2170.829311
961	2169.806971
962	2168.947745
963	2166.360431
964	2164.334937
965	2163.047603
966	2162.12341
967	2161.114443
968	2159.640359
969	2158.276372
970	2157.394063
971	2156.630068
972	2155.798297
973	2154.993676
974	2153.541272
975	2150.571151
976	2150.13089
977	2149.006957
978	2146.415517
979	2145.592878
980	2144.878188
981	2143.716531
982	2142.492261
983	2141.099041
984	2138.799105
985	2137.109938
986	2136.015532
987	2134.941045
988	2133.001054
989	2132.140301
990	2130.118818
991	2128.705175
992	2127.966321
993	2126.779895
994	2126.078067
995	2125.384719
996	2124.431213
997	2123.658519
998	2122.930522
999	2122.345796
